timestamp,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningarea,discrete_visit_planningregion,discrete_visit_subzone
2018-01-01T00:00:00.000+08:00,29840,511337,CK,WR,CKSZ01
2018-01-01T00:00:00.000+08:00,24458,596248,CK,WR,CKSZ02
2018-01-01T00:00:00.000+08:00,34879,651798,CK,WR,CKSZ03
2018-01-01T00:00:00.000+08:00,39363,629485,CK,WR,CKSZ04
2018-01-01T00:00:00.000+08:00,43484,1007438,CK,WR,CKSZ05
2018-01-01T00:00:00.000+08:00,43039,902336,CK,WR,CKSZ06
2018-01-01T00:00:00.000+08:00,28130,660475,CL,WR,CLSZ01
2018-01-01T00:00:00.000+08:00,19742,265783,CL,WR,CLSZ02
2018-01-01T00:00:00.000+08:00,6488,100196,CL,WR,CLSZ03
2018-01-01T00:00:00.000+08:00,49338,850593,CL,WR,CLSZ04
2018-01-01T00:00:00.000+08:00,3800,101841,CL,WR,CLSZ05
2018-01-01T00:00:00.000+08:00,59261,608256,CL,WR,CLSZ06
2018-01-01T00:00:00.000+08:00,27520,354141,CL,WR,CLSZ07
2018-01-01T00:00:00.000+08:00,30627,581507,CL,WR,CLSZ08
2018-01-01T00:00:00.000+08:00,7185,130999,CL,WR,CLSZ09
2018-01-01T00:00:00.000+08:00,56793,563618,JE,WR,JESZ01
2018-01-01T00:00:00.000+08:00,57941,759629,JE,WR,JESZ02
2018-01-01T00:00:00.000+08:00,55296,622593,JE,WR,JESZ03
2018-01-01T00:00:00.000+08:00,44254,381374,JE,WR,JESZ04
2018-01-01T00:00:00.000+08:00,59786,553703,JE,WR,JESZ05
2018-01-01T00:00:00.000+08:00,23459,193470,JE,WR,JESZ06
2018-01-01T00:00:00.000+08:00,43724,1588336,JE,WR,JESZ07
2018-01-01T00:00:00.000+08:00,33408,545954,JE,WR,JESZ08
2018-01-01T00:00:00.000+08:00,4253,82268,JE,WR,JESZ09
2018-01-01T00:00:00.000+08:00,20502,316120,JE,WR,JESZ10
2018-01-01T00:00:00.000+08:00,23645,346569,JW,WR,JWSZ01
2018-01-01T00:00:00.000+08:00,63821,959413,JW,WR,JWSZ02
2018-01-01T00:00:00.000+08:00,58551,1462855,JW,WR,JWSZ03
2018-01-01T00:00:00.000+08:00,73545,1404857,JW,WR,JWSZ04
2018-01-01T00:00:00.000+08:00,17107,157550,JW,WR,JWSZ05
2018-01-01T00:00:00.000+08:00,50686,1064588,JW,WR,JWSZ06
2018-01-01T00:00:00.000+08:00,2093,17971,JW,WR,JWSZ07
2018-01-01T00:00:00.000+08:00,73799,2042519,JW,WR,JWSZ08
2018-01-01T00:00:00.000+08:00,107478,2351415,JW,WR,JWSZ09
2018-01-01T00:00:00.000+08:00,45078,580462,PN,WR,PNSZ01
2018-01-01T00:00:00.000+08:00,12365,343630,PN,WR,PNSZ02
2018-01-01T00:00:00.000+08:00,14010,159161,PN,WR,PNSZ03
2018-01-01T00:00:00.000+08:00,4564,109802,PN,WR,PNSZ04
2018-01-01T00:00:00.000+08:00,7428,212730,PN,WR,PNSZ05
2018-01-01T00:00:00.000+08:00,2890,19643,TH,WR,THSZ01
2018-01-01T00:00:00.000+08:00,2230,9646,TS,WR,TSSZ01
2018-01-01T00:00:00.000+08:00,49199,1031156,TS,WR,TSSZ02
2018-01-01T00:00:00.000+08:00,21979,408663,TS,WR,TSSZ03
2018-01-01T00:00:00.000+08:00,17973,342629,TS,WR,TSSZ04
2018-01-01T00:00:00.000+08:00,39470,1379965,TS,WR,TSSZ05
2018-01-01T00:00:00.000+08:00,37639,1873278,TS,WR,TSSZ06
2018-01-01T00:00:00.000+08:00,60345,2006724,WC,WR,WCSZ01
2018-01-01T00:00:00.000+08:00,26970,561407,WI,WR,WISZ01
2018-01-01T00:00:00.000+08:00,821,14957,WI,WR,WISZ02
