timestamp,discrete_visit_planningarea,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningregion,discrete_visit_subzone
2018-01-03T00:00:00.000+08:00,CR,52160,566977,BS,BSSZ02
2018-01-03T00:00:00.000+08:00,CR,124425,1027096,BS,BSSZ03
2018-01-03T00:00:00.000+08:00,CR,73192,1151343,BT,BTSZ01
2018-01-03T00:00:00.000+08:00,CR,23464,249591,BT,BTSZ02
2018-01-03T00:00:00.000+08:00,CR,20058,362210,BT,BTSZ03
2018-01-03T00:00:00.000+08:00,CR,20056,349126,BT,BTSZ04
2018-01-03T00:00:00.000+08:00,CR,83060,470291,BT,BTSZ05
2018-01-03T00:00:00.000+08:00,CR,65073,735577,BT,BTSZ06
2018-01-03T00:00:00.000+08:00,CR,30240,451728,BT,BTSZ07
2018-01-03T00:00:00.000+08:00,CR,28871,231375,BT,BTSZ08
2018-01-03T00:00:00.000+08:00,CR,111753,781642,DT,DTSZ01
2018-01-03T00:00:00.000+08:00,CR,103380,881577,DT,DTSZ02
2018-01-03T00:00:00.000+08:00,CR,78303,1049513,DT,DTSZ03
2018-01-03T00:00:00.000+08:00,CR,28355,204622,DT,DTSZ04
2018-01-03T00:00:00.000+08:00,CR,111499,1229730,DT,DTSZ05
2018-01-03T00:00:00.000+08:00,CR,36318,295670,DT,DTSZ06
2018-01-03T00:00:00.000+08:00,CR,14535,130241,DT,DTSZ07
2018-01-03T00:00:00.000+08:00,CR,80947,858665,DT,DTSZ08
2018-01-03T00:00:00.000+08:00,CR,47667,543752,DT,DTSZ09
2018-01-03T00:00:00.000+08:00,CR,34397,365429,DT,DTSZ10
2018-01-03T00:00:00.000+08:00,CR,42221,1008009,DT,DTSZ11
2018-01-03T00:00:00.000+08:00,CR,53575,548301,DT,DTSZ12
2018-01-03T00:00:00.000+08:00,CR,79325,1024425,GL,GLSZ01
2018-01-03T00:00:00.000+08:00,CR,52176,644855,GL,GLSZ02
2018-01-03T00:00:00.000+08:00,CR,129150,1612093,GL,GLSZ03
2018-01-03T00:00:00.000+08:00,CR,203260,3399081,GL,GLSZ04
2018-01-03T00:00:00.000+08:00,CR,126008,1833500,GL,GLSZ05
2018-01-03T00:00:00.000+08:00,CR,143331,1621623,KL,KLSZ01
2018-01-03T00:00:00.000+08:00,CR,44788,436581,KL,KLSZ02
2018-01-03T00:00:00.000+08:00,CR,17172,173237,KL,KLSZ03
2018-01-03T00:00:00.000+08:00,CR,34746,97610,KL,KLSZ04
2018-01-03T00:00:00.000+08:00,CR,88688,747735,KL,KLSZ05
2018-01-03T00:00:00.000+08:00,CR,107271,1100675,KL,KLSZ06
2018-01-03T00:00:00.000+08:00,CR,90273,910796,KL,KLSZ07
2018-01-03T00:00:00.000+08:00,CR,49313,514485,KL,KLSZ08
2018-01-03T00:00:00.000+08:00,CR,70416,803566,KL,KLSZ09
2018-01-03T00:00:00.000+08:00,CR,58940,226579,ME,MESZ01
2018-01-03T00:00:00.000+08:00,CR,43122,640802,MP,MPSZ01
2018-01-03T00:00:00.000+08:00,CR,43438,621988,MP,MPSZ02
2018-01-03T00:00:00.000+08:00,CR,73541,1394380,MP,MPSZ03
2018-01-03T00:00:00.000+08:00,CR,35737,158694,MS,MSSZ01
2018-01-03T00:00:00.000+08:00,CR,79557,357010,MU,MUSZ01
